LT,LS,LB,WT,WB,Wfi,Fleet
146,115,105,6.62,28.9,18,2
92,74,65,11.2,5.7,3,2
81,66,50,13.4,5.8,3.5,1
95,85,63,14.7,4.3,2,2
84,66,60,14.7,5.8,3,1
95,85,67,14.9,5,2.6,2
85,70,60,15.8,6.6,4.6,1
84,71,62,15.9,5.8,3.3,1
89,73,65,16,5.6,2.6,1
96,79,67,16.2,5.5,3.2,2
97,81,70,16.3,6.6,3.3,2
98,80,70,16.7,7.9,5.2,2
92,75,72,17.3,7.9,5.2,2
103,82,75,17.7,8.1,5,2
101,83,76,18.3,8.7,3.7,2
87,72,65,18.4,6.3,3.2,1
104,84,70,18.4,7.2,2.4,2
98,82,68,18.4,7.5,4.1,2
110,88,75,18.6,5.5,2.8,1
103,85,78,18.6,7.9,4.3,2
105,86,73,18.7,7.2,3.5,2
100,80,68,18.8,7.1,4.5,2
104,81,75,19,7.9,4.8,2
102,82,69,19.1,7.2,3.8,2
100,81,75,19.2,8.7,5.8,2
100,80,80,19.3,9.9,5.7,2
101,81,74,19.7,7.3,3.9,2
112,92,82,19.9,7.8,3.6,1
96,81,75,19.9,8,4.4,2
100,80,80,19.9,9.5,5.7,2
100,80,75,20.1,9.4,6.5,2
107,86,71,20.2,7.8,3.5,2
100,82,75,20.5,9.2,5.4,2
109,88,71,20.7,7.5,4.1,2
104,85,80,20.7,10,6,2
106,86,79,20.9,7.6,4.3,2
100,80,75,20.9,8.3,4.8,2
107,82,70,21,7.2,4,2
103,83,75,21.1,7.7,4.3,2
105,85,75,21.4,7.9,4.6,2
105,84,83,21.4,10.3,6.5,2
105,85,80,21.5,8.6,4.1,2
100,82,75,21.5,12.2,7.8,2
108,90,79,21.6,6.9,4.1,2
107,90,81,21.6,9.5,5.6,2
105,85,85,21.7,7.6,3.3,2
108,90,69,21.8,6.4,3.7,2
102,85,77,22,8.8,4.6,2
104,85,80,22.1,9.9,6.6,2
105,84,80,22.3,10.3,6.8,2
110,87,85,22.3,10.9,5.9,2
108,88,80,22.4,10.8,7.8,2
105,84,80,22.5,14.4,9.3,2
109,91,75,22.7,9.3,4.2,2
106,89,80,22.8,13.8,5.8,2
145,120,115,22.8,13.9,13.2,2
110,90,75,22.9,9.6,5.8,2
110,90,75,23.1,12.3,7.9,2
108,90,81,23.2,9.1,5.7,2
109,86,79,23.3,9.3,4.5,2
105,85,74,23.7,10.2,6.1,2
109,87,79,23.7,10.3,5.1,2
110,92,85,23.7,11,6.1,2
110,90,75,23.8,10.1,5.8,2
110,90,86,23.8,11.8,7.4,2
110,90,80,23.9,8.8,3.6,2
109,89,81,23.9,8.9,5.8,2
110,85,80,23.9,9.6,4.6,2
110,90,80,23.9,11.4,6.6,2
112,90,89,24.2,10.9,5.9,2
107,88,80,24.3,11.1,7.4,2
115,93,81,24.5,9.6,5.6,2
116,95,82,24.5,10.3,6.1,2
113,92,83,24.6,9.1,5.9,2
105,87,75,24.6,9.8,5,2
110,90,78,24.7,10.3,5.8,2
111,91,74,24.9,10.4,5.3,2
119,96,85,24.9,15,10.3,2
114,92,90,25.2,11.1,5.7,2
111,92,83,25.3,9.9,4.8,2
110,89,78,25.3,10.4,5.2,2
110,90,81,25.3,12,8.2,2
112,89,74,25.5,8.9,4.6,2
110,89,78,25.5,10.6,7.2,2
101,81,78,25.5,11.5,6,2
112,90,78,25.6,9.7,6.2,2
110,90,75,25.6,9.7,5.8,2
114,92,81,25.6,9.9,5.4,2
110,92,80,25.6,11.4,7.1,2
110,90,85,25.8,9.6,4.4,2
112,88,81,25.8,10,6.2,2
115,94,85,25.8,11.6,6.9,2
115,91,79,25.9,10.5,5,2
106,85,79,25.9,10.6,6.5,2
111,89,72,26,8.6,4.5,2
114,93,77,26,9.4,5.1,2
109,88,76,26,10,5.5,2
115,91,75,26.3,8.7,5.3,2
106,84,80,26.3,11.9,6.2,2
112,90,82,26.4,10.9,6.5,2
115,94,82,26.4,11,5.7,2
115,94,80,26.4,13.9,7.2,2
120,93,80,26.5,11.2,6.7,2
120,100,95,26.5,13.6,9,2
115,94,80,26.6,9.4,5,2
111,92,81,26.6,11.5,6.7,2
110,92,80,26.8,10.1,5.8,2
115,94,82,26.8,10.1,6.2,2
105,85,83,26.8,11.3,6.9,2
121,96,90,26.9,11.3,6.4,2
110,87,87,27,11.2,6.7,2
113,92,80,27.2,10.4,5.4,2
120,100,85,27.2,15.7,8,2
